ID;label;latitude;longitude;speakersLog;color;r;cy;cx;;;countrycodes;family;genus;Name;speakers
glc;Catalan;43;-8;15;#1f008c;26,458334;-336,22531;-209,62842;;;ES;Indo-European;Romance;Galician;2400000
ita;Italian;43;12;18;#042669;31,750000;-463,22311;-182,80368;;;CH IT;Indo-European;Romance;Italian;90000000
ldn;Ladin;46.58;Nov 92;11;#001d8c;19,402779;-427,27039;-1,27129;;;IT;Indo-European;Romance;Ladin;41129
lno;Ladino;40;33;12;#002f8c;21,166666;-442,16724;-711,94031;;;TR IL;Indo-European;Romance;Ladino;122000
mol;Moldavian;47;29;15;#33056d;26,458334;-485,12759;-110,62253;;;MD;Indo-European;Romance;Moldavian;3500000
occ;Occitan;44;2;14;#3c0583;24,694445;-327,04874;-390,18032;;;FR;Indo-European;Romance;Occitan;800000
por;Portuguese;39;-8;19;#20067d;33,513889;-366,23834;-102,00125;;;PT;Indo-European;Romance;Portuguese;220000000
pro;Provencal;44;6;13;#2e008c;22,930555;-294,01819;-862,07397;;;FR;Indo-European;Romance;Provençal;350000
rom;Romanian;46;25;17;#1b0763;29,986115;-447,00589;-514,48646;;;RO;Indo-European;Romance;Romanian;26000000
rmc;Romansch;46.67;Sep 17;11;#430099;19,402779;-391,31757;-44,36935;;;CH;Indo-European;Romance;Romansch;36600
srd;Sardinian;40;9;14;#2c067b;24,694445;-377,48856;791,11657;;;IT;Indo-European;Romance;Sardinian;1000000
spa;Spanish;40;-4;20;#081d6a;35,277779;-243,83099;-183,58414;;;ES;Indo-European;Romance;Spanish;480000000
blr;Belorussian;54;28;15;#18a4ec;26,458334;-31,86907;151,45705;;;BY;Indo-European;Slavic;Belorussian;2600000
bos;Bosnian;43;18;15;#54a7f5;26,458334;-299,07687;234,92101;;;BA;Indo-European;Slavic;Bosnian;3500000
bul;Bulgarian;42.5;25;16;#2eb7fe;28,222219;-238,54344;250,05103;;;BG;Indo-European;Slavic;Bulgarian;9000000
cze;Czech;50;15;16;#38afed;28,222219;-351,64899;861,59012;;;CZ;Indo-European;Slavic;Czech;10700000
ksu;Kashubian;54;18;12;#309be9;21,166666;-274,49265;112,24567;;;PL;Indo-European;Slavic;Kashubian;108000
mcd;Macedonian;41.67;21.75;15;#69c1f6;26,458334;-354,23511;203,98903;;;MK;Indo-European;Slavic;Macedonian;2500000
pol;Polish;52;20;18;#3aa2ed;31,750000;-359,01559;272,43259;;;PL;Indo-European;Slavic;Polish;45000000
rus;Russian;56;38;19;#2e99fe;33,513889;-256,02115;180,05301;;;RU;Indo-European;Slavic;Russian;154000000
scr;Serbo-Croatian;44;19;17;#1a9ee2;29,986115;-391,80731;144,09099;;;BA RS HR;Indo-European;Slavic;Serbian-Croatian;21000000
svk;Slovak;49;20;15;#2ea6fe;26,458334;-410,59338;223,95502;;;SK;Indo-European;Slavic;Slovak;5200000
slo;Slovene;46;15;15;#39acf2;-19,069122;173,61755;264,58334;;;SI;Indo-European;Slavic;Slovene;2500000
srb;Sorbian;51.5;14;11;#2eaffe;19,402779;-217,48198;124,74681;;;DE;Indo-European;Slavic;Sorbian;50000
ukr;Ukrainian;49;33;18;#228df2;31,750000;-283,39584;493,44151;;;UA;Indo-European;Slavic;Ukrainian;45000000
ash;Adyghe (Shapsugh);45;38.75;13;#e4bd00;22,930555;-403,06888;-270,24396;;;RU;Northwest Caucasian;Northwest Caucasian;Adyghe (Shapsugh);575900
est;Estonian;59;26;14;#cc004c;24,694445;-326,25668;-320,43124;;;EE;Uralic;Finnic;Estonian;1100000
fin;Finnish;62;25;16;#bc0c4e;28,222219;-269,33603;-30,48345;;;FI;Uralic;Finnic;Finnish;5400000
krl;Karelian;64;32;10;#bc0b63;17,638889;-32,77923;-271,37122;;;RU;Uralic;Finnic;Karelian;36000
liv;Liv;56.83;24;4;#cc0080;70,555553;-304,44241;-292,25308;;;LV;Uralic;Finnic;Liv;40
vep;Veps;60;35;7;#cc0066;12,347222;-291,85318;-266,29471;;;RU;Uralic;Finnic;Veps;1600
vot;Votic;59.5;30;4;#c00b7c;70,555553;-293,01062;-332,68845;;;RU;Uralic;Finnic;Votic;68
scs;Saami (Central-South);64.67;16.75;6;#99004c;10,583333;-229,88101;-392,43158;;;SE;Uralic;Saami;Saami (Central-South);500
ski;Saami (Kildin);67;37;7;#8b0849;12,347222;-251,67247;-368,86578;;;RU;Uralic;Saami;Saami (Kildin);787
sno;Saami (Northern);69;24;10;#7e0843;17,638889;-217,93236;-358,37506;;;FI SE NO;Uralic;Saami;Saami (Northern);15000
hun;Hungarian;47;20;16;#ff33cc;28,222219;-312,31967;-39,59285;;;HU;Uralic;Ugric;Hungarian;13000000
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
