wals_code,y,x,bubblex,bubbley,color,speakers,countrycodes,family,Genus_CAPS,Name,coords
bul,42.5,25,406,249,#2eb7fe,9000000,BG,Indo-European,Slavic,Bulgarian,"25, 42.5"
cze,50,15,433,270,#38afed,10700000,CZ,Indo-European,Slavic,Czech,"15, 50"
ksu,54,18,372,340,#309be9,108000,PL,Indo-European,Slavic,Kashubian,"18, 54"
mcd,41.67,21.75,330,305,#69c1f6,2500000,MK,Indo-European,Slavic,Macedonian,"21.75, 41.67"
pol,52,20,434,337,#3aa2ed,45000000,PL,Indo-European,Slavic,Polish,"20, 52"
rus,56,38,402,318,#2e99fe,154000000,RU,Indo-European,Slavic,Russian,"38, 56"
scr,44,19,439,302,#1a9ee2,21000000,BA RS HR,Indo-European,Slavic,Serbian-Croatian,"19, 44"
svk,46,15,372,265,#39acf2,2500000,SI,Indo-European,Slavic,Slovene,"15, 46"
slo,51.5,14,347,332,#2eaffe,50000,DE,Indo-European,Slavic,Sorbian,"14, 51.5"
srb,49,20,402,355,#2ea6fe,5200000,SK,Indo-European,Slavic,Slovak,"20, 49"
ukr,49,33,365,301,#228df2,45000000,UA,Indo-European,Slavic,Ukrainian,"33, 49"
ash,45,38.75,414,685,#e4bd00,575900,RU,Northwest Caucasian,Northwest Caucasian,Adyghe (Shapsugh),"38.75, 45"
est,59,26,510,575,#cc004c,1100000,EE,Uralic,Finnic,Estonian,"26, 59"
fin,62,25,496,604,#bc0c4e,5400000,FI,Uralic,Finnic,Finnish,"25, 62"
krl,64,32,474,575,#bc0b63,36000,RU,Uralic,Finnic,Karelian,"32, 64"
liv,56.83,24,482,591,#cc0080,40,LV,Uralic,Finnic,Liv,"24, 56.83"
vep,60,35,493,561,#cc0066,1600,RU,Uralic,Finnic,Veps,"35, 60"
vot,59.5,30,492,581,#c00b7c,68,RU,Uralic,Finnic,Votic,"30, 59.5"
scs,64.67,16.75,547,542,#99004c,500,SE,Uralic,Saami,Saami (Central-South),"16.75, 64.67"
ski,67,37,560,529,#8b0849,787,RU,Uralic,Saami,Saami (Kildin),"37, 67"
sno,69,24,565,549,#7e0843,15000,FI SE NO,Uralic,Saami,Saami (Northern),"24, 69"
hun,47,20,561,602,#ff33cc,13000000,HU,Uralic,Ugric,Hungarian,"20, 47"
