ID,label,genus,latitude,longitude,speakersLog,color,r,X,Y,,x new,y new,cx,cy,countrycodes,family,Genus_CAPS,Name,speakers,,,,
gcy,Greek (Cypriot),greek,34.75,33.00,13,#30fd85,22.930555,312,228,,-68.3932224,50.68635,-169.66112,-545.09167,CY,Indo-European,Greek,Greek (Cypriot),700000,,,,
grk,Greek (Modern),greek,39.00,22.00,16,#2ef480,28.222219,340,216,,-67.2799934,50.42117,-113.99967,-566.30627,GR,Indo-European,Greek,Greek (Modern),13400000,,,,
rav,Romani (Ajia Varvara),indic,38.00,23.58,10,#0079c0,17.638889,512,326,,-47.647615,50.93069,867.61925,-525.54504,GR,Indo-European,Indic,Romani (Ajia Varvara),20000,,,,
rbg,Romani (Burgenland),indic,47.50,16.50,10,#0070c0,17.638889,518,301,,-46.5554702,50.40721,922.22649,-567.42334,AT,Indo-European,Indic,Romani (Burgenland),20000,,,,
rbu,Romani (Burgudzi),indic,42.67,21.17,10,#0871af,17.638889,477,355,,-53.5397666,51.27967,573.01167,-497.62604,RS,Indo-European,Indic,Romani (Bugurdzi),20000,,,,
rka,Romani (Kalderash),indic,45.00,21.00,10,#095d9c,17.638889,505,353,,-45.223323,51.47866,988.83385,-481.70721,RS,Indo-European,Indic,Romani (Kalderash),20000,,,,
rlo,Romani (Lovari),indic,47.00,21.50,10,#076eb1,17.638889,524,342,,-62.0586874,51.55917,147.06563,-475.26666,RO HU,Indo-European,Indic,Romani (Lovari),20000,,,,
rnr,Romani (North Russian),indic,60.00,38.00,10,#1365a3,17.638889,493,308,,-62.4211172,51.06018,128.94414,-515.18555,RU,Indo-European,Indic,Romani (North Russian),20000,,,,
rse,Romani (Sepecides),indic,38.25,27.00,10,#0074c0,17.638889,535,323,,-64.7167902,50.58170,14.16049,-553.46387,TR,Indo-European,Indic,Romani (Sepecides),20000,,,,
rwe,Romani (Welsh),indic,52.00,-4.00,10,#0f6cb3,17.638889,492,334,,-55.1119164,50.75619,494.40418,-539.50452,GB,Indo-European,Indic,Romani (Welsh),20000,,,,
ast,Asturian,romance,43.25,-6.00,13,#07207c,22.930555,195,341,,-68.4981348,57.01635,-174.90674,-38.69176,ES,Indo-European,Romance,Asturian,351791,,,,
ctl,Catalan,romance,41.75,2.00,15,#1d066f,31.750000,255,326,,-65.301255,53.58553,-15.06275,-313.15778,ES,Indo-European,Romance,Catalan,4100000,,,,
fre,French,romance,48.00,2.00,18,#062f80,26.458334,245,404,,-72.9325248,51.23480,-396.62624,-501.21637,FR CH,Indo-European,Romance,French,76800000,,,,
glc,Galician,romance,43.00,-8.00,15,#1f008c,26.458334,260,370,,-69.1925684,53.29718,-209.62842,-336.22531,ES,Indo-European,Romance,Galician,2400000,,,,
ita,Italian,romance,43.00,12.00,18,#042669,31.750000,212,391,,-68.6560736,51.70971,-182.80368,-463.22311,CH IT,Indo-European,Romance,Italian,90000000,,,,
ldn,Ladin,romance,46.58,11.92,11,#001d8c,19.402779,182,402,,-65.0254258,52.15912,-1.27129,-427.27039,IT,Indo-European,Romance,Ladin,41129,,,,
lno,Ladino,romance,40.00,33.00,12,#002f8c,21.166666,219,322,,-79.2388062,51.97291,-711.94031,-442.16724,TR IL,Indo-European,Romance,Ladino,122000,,,,
mol,Moldavian,romance,47.00,29.00,15,#33056d,26.458334,278,400,,-67.2124506,51.43591,-110.62253,-485.12759,MD,Indo-European,Romance,Moldavian,3500000,,,,
occ,Occitan,romance,44.00,2.00,14,#3c0583,24.694445,185,426,,-72.8036064,53.41189,-390.18032,-327.04874,FR,Indo-European,Romance,Occitan,800000,,,,
por,Portuguese,romance,39.00,-8.00,19,#20067d,33.513889,228,355,,-67.040025,52.92202,-102.00125,-366.23834,PT,Indo-European,Romance,Portuguese,220000000,,,,
pro,Provencal,romance,44.00,6.00,13,#2e008c,22.930555,290,371,,-82.2414794,53.82477,-862.07397,-294.01819,FR,Indo-European,Romance,Proven̤al,350000,,,,
rmc,Romansch,romance,46.67,9.17,11,#430099,19.402779,277,347,,-65.887387,52.60853,-44.36935,-391.31757,CH,Indo-European,Romance,Romansch,36600,,,,
rom,Romanian,romance,46.00,25.00,17,#1b0763,29.986115,218,427,,-75.2897292,51.91243,-514.48646,-447.00589,RO,Indo-European,Romance,Romanian,26000000,,,,
spa,Spanish,romance,40.00,-4.00,20,#081d6a,35.277779,177,372,,-68.6716828,54.45211,-183.58414,-243.83099,ES,Indo-European,Romance,Spanish,480000000,,,,
srd,Sardinian,romance,40.00,9.00,14,#2c067b,24.694445,248,435,,-49.1776686,52.78139,791.11657,-377.48856,IT,Indo-European,Romance,Sardinian,1000000,,,,
blr,Belorussian,slavic,54.00,28.00,15,#18a4ec,26.458334,402,282,,-61.970859,57.10164,151.45705,-31.86907,BY,Indo-European,Slavic,Belorussian,2600000,,,,
bos,Bosnian,slavic,43.00,18.00,15,#54a7f5,26.458334,337,273,,-60.3015798,53.76154,234.92101,-299.07687,BA,Indo-European,Slavic,Bosnian,3500000,,,,
bul,Bulgarian,slavic,42.50,25.00,16,#2eb7fe,28.222219,406,249,,-59.9989794,54.51821,250.05103,-238.54344,BG,Indo-European,Slavic,Bulgarian,9000000,,,,
cze,Czech,slavic,50.00,15.00,16,#38afed,28.222219,433,270,,-47.7681976,53.10439,861.59012,-351.64899,CZ,Indo-European,Slavic,Czech,10700000,,,,
ksu,Kashubian,slavic,54.00,18.00,12,#309be9,21.166666,372,340,,-62.7550866,54.06884,112.24567,-274.49265,PL,Indo-European,Slavic,Kashubian,108000,,,,
mcd,Macedonian,slavic,41.67,21.75,15,#69c1f6,26.458334,330,305,,-60.9202194,53.07206,203.98903,-354.23511,MK,Indo-European,Slavic,Macedonian,2500000,,,,
pol,Polish,slavic,52.00,20.00,18,#3aa2ed,31.750000,434,337,,-59.5513482,53.01231,272.43259,-359.01559,PL,Indo-European,Slavic,Polish,45000000,,,,
rus,Russian,slavic,56.00,38.00,19,#2e99fe,33.513889,402,318,,-61.3989398,54.29974,180.05301,-256.02115,RU,Indo-European,Slavic,Russian,154000000,,,,
scr,Serbo-Croatian,slavic,44.00,19.00,17,#1a9ee2,29.986115,439,302,,-62.1181802,52.60241,144.09099,-391.80731,BA RS HR,Indo-European,Slavic,Serbian-Croatian,21000000,,,,
slo,Slovene,slavic,46.00,15.00,15,#39acf2,-19.069122,372,265,,-59.7083332,59.67022,264.58334,173.61755,SI,Indo-European,Slavic,Slovene,2500000,,,,
srb,Sorbian,slavic,51.50,14.00,11,#2eaffe,19.402779,347,332,,-62.5050638,54.78148,124.74681,-217.48198,DE,Indo-European,Slavic,Sorbian,50000,,,,
svk,Slovak,slavic,49.00,20.00,15,#2ea6fe,26.458334,402,335,,-60.5208996,52.36758,223.95502,-410.59338,SK,Indo-European,Slavic,Slovak,5200000,,,,
ukr,Ukrainian,slavic,49.00,33.00,18,#228df2,31.750000,365,301,,-55.1311698,53.95755,493.44151,-283.39584,UA,Indo-European,Slavic,Ukrainian,45000000,,,,
